id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277484,-122.648434,Private room,70,2,170,7/29/2017,4.59,1,320
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342,-122.6367956,Entire home/apt,175,2,15,7/1/2017,1.19,1,0
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327353,-122.6468701,Private room,90,1,205,7/22/2017,6.82,5,341
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898,-122.6484275,Private room,140,1,126,7/22/2017,7.49,5,340
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53396443,-122.6485267,Shared room,47,1,96,7/30/2017,5.2,6,341
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53223564,-122.6454249,Private room,47,1,156,7/26/2017,6.33,2,318
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390004,-122.6502922,Private room,35,5,1,6/15/2015,0.04,1,0
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.53210669,-122.6444723,Private room,70,1,0,,,1,0
19191295,NE Portland Home,134247106,Jeffrey,,Sullivan's Gulch,45.53266409,-122.6412556,Entire home/apt,55,2,13,7/29/2017,6.84,1,1
3835937,Close to downtown Portland ,19756066,Randal,,Sullivan's Gulch,45.53509972,-122.638423,Private room,77,1,232,8/3/2017,6.4,1,325
18911000,The Green House,28163673,Gail & Wyatt,,Sullivan's Gulch,45.531867,-122.6402846,Entire home/apt,99,1,0,,,1,150
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327976,-122.6478623,Private room,120,1,174,7/19/2017,5.69,5,343
13031007,Best Neighborhood--2 Bedrooom,636668,Sara Osheroff,,Sullivan's Gulch,45.53408749,-122.6366259,Entire home/apt,95,2,60,7/27/2017,4.22,1,320
19293810,Cute apartment close to everything in NE Portland,3434503,Ashley,,Sullivan's Gulch,45.53381162,-122.6459901,Entire home/apt,96,7,1,7/20/2017,1,1,277
14780717,Pension Portlandia: Close in Convenience,5670387,David And Debra,,Sullivan's Gulch,45.53381815,-122.641766,Entire home/apt,95,1,31,7/29/2017,3.94,1,311
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,,Sullivan's Gulch,45.53449122,-122.646883,Private room,65,1,175,8/3/2017,6.46,6,329
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303,-122.6424807,Private room,52,2,123,7/31/2017,3.59,2,333
14505032,"New & Nearby Convention Center (2bd, 1bth)",45410272,Omar & Amanda,,Sullivan's Gulch,45.5308703,-122.6444632,Entire home/apt,115,1,109,7/29/2017,9.88,1,112
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.53383491,-122.6475915,Entire home/apt,95,2,132,7/22/2017,3.37,1,344
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834,-122.6467496,Private room,120,1,165,7/22/2017,5.32,5,347
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.534176,-122.6469208,Shared room,47,1,79,7/30/2017,4.33,6,348
4000140,"Fully equipped, Private studio apartment,",20738963,Jodi,,Sullivan's Gulch,45.5333134,-122.6451693,Entire home/apt,60,2,143,7/18/2017,4.03,1,309
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.53386634,-122.647757,Private room,110,1,192,7/21/2017,6.36,5,342
15358320,Bohemian Escape,78494301,Pamela,,Sullivan's Gulch,45.53204823,-122.6412231,Private room,65,2,22,7/22/2017,2.34,1,145
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202,-122.6375176,Entire home/apt,135,2,19,7/17/2017,1.2,1,0
15164727,NE BUNK-HOUSE : Single bed - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53415375,-122.6484273,Shared room,47,1,51,8/3/2017,5.2,6,339
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273357,-122.6397249,Entire home/apt,59,2,112,7/31/2017,3.03,1,329
15910175,NE private modern garden apartment,103214448,Bianca,,Sullivan's Gulch,45.53444632,-122.6452487,Entire home/apt,77,1,19,8/2/2017,10,1,316
15164536,NE BUNK-HOUSE : Single bed - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53393207,-122.6472055,Shared room,42,1,58,7/30/2017,5.51,6,341
20257481,Historic Hollywood 2BR w/ recent renovations!,113868705,Grace,,Hollywood,45.5351072,-122.6235504,Entire home/apt,159,1,0,,,1,354
1055411,Sunny Room in Heart of Hollywood,1551737,Michelle,,Hollywood,45.53749171,-122.6164466,Private room,65,2,8,7/25/2017,0.16,2,320
4811271,Full home centrally located in NE Portland,11306582,Josh,,Hollywood,45.53212972,-122.6157695,Entire home/apt,225,2,5,7/25/2017,0.21,1,11
1850556,The Nest,9663989,Laura,,Hollywood,45.53679655,-122.6235483,Entire home/apt,80,1,321,7/30/2017,92.6,1,299
1076200,Central Hollywood District House,1551737,Michelle,,Hollywood,45.53634197,-122.6161043,Entire home/apt,145,2,45,7/15/2017,0.94,2,50
14995423,The Vintage Getaway!,8926269,Lora,,Hollywood,45.53757695,-122.6220366,Private room,120,1,38,7/29/2017,3.53,1,8
6031121,Private room in stylish & central 1924 Craftsman,9388547,Arian,,Hollywood,45.53576815,-122.616222,Private room,65,2,53,7/26/2017,1.98,1,307
1056736,Euro/Modern studio w/ private entry kitchen & bath,5820535,Scott,,Hillside,45.52427423,-122.7085086,Entire home/apt,90,2,56,8/2/2017,1.08,1,48
6951336,"City Lights, Hikes, Sites & Bites",36444548,Sharon,,Hillside,45.5257606,-122.7116062,Entire home/apt,160,2,28,7/23/2017,3.22,1,61
692488,Classic Northwest Villa,3541177,Jerry,,Hillside,45.52752632,-122.7068514,Entire home/apt,99,2,228,7/22/2017,3.84,1,45
19832091,1-2 bedroom NW Kings Heights Portland,12992163,Timi,,Hillside,45.52985396,-122.7123855,Private room,99,2,4,8/1/2017,4,1,147
14267365,NW Portland Hillside Hideaway Suite,8166871,Ed & Kyle,,Hillside,45.52135677,-122.7257997,Private room,89,2,50,7/30/2017,4.79,1,95
18856160,New Modern Private Apartment Close to Downtown,111473565,Gail,,Hillside,45.52798054,-122.7069488,Entire home/apt,130,2,11,7/30/2017,5.79,1,141
15322591,"Paradise in Forest Park, Close to Downtown Shops!",4209393,Lisa,,Hillside,45.52801835,-122.7146748,Private room,109,2,31,8/4/2017,3.21,1,321
19460981,NW Portland Home - Sleeps 6+,136512219,Anna,,Hillside,45.52736657,-122.7065729,Entire home/apt,250,2,3,8/1/2017,3,1,69
18550777,Authentic Cabin in Forest Park with private deck,77266661,Matthew,,Hillside,45.5199404,-122.7220175,Entire home/apt,125,2,9,7/30/2017,3.46,1,0
14961205,NW Portland's Stairway to Heaven,17889445,Amy,,Hillside,45.52649365,-122.7088709,Private room,125,1,22,7/31/2017,2.14,1,61
18375485,Valentina's Little Sister,127253367,Scott,,Hillside,45.52639782,-122.7082724,Entire home/apt,165,3,12,8/4/2017,4.5,1,49
8811960,Bedroom with bath and 2 beds,22562487,Cole,,Sylvan-Highlands,45.51882026,-122.7274465,Private room,68,2,2,3/23/2016,0.09,2,0
19624975,Sylvan Highlands Cottage,24453020,Kelly,,Sylvan-Highlands,45.51400321,-122.7368303,Entire home/apt,98,2,4,7/19/2017,3.53,1,324
4493001,Mad Court House - Private Apartment,22904946,Zoe And Sibyl,,Sylvan-Highlands,45.51228528,-122.7386805,Entire home/apt,120,2,55,7/18/2017,1.78,1,126
7679227,Mid Century View Ranch w/ Covered Deck & Fireplace,2000049,Adam,,Sylvan-Highlands,45.51354089,-122.7364682,Entire home/apt,425,1,22,7/17/2017,1,1,145
9732892,"Quiet, convenient & comfortable!",22298379,Marcelo,,Sylvan-Highlands,45.5118033,-122.7356838,Entire home/apt,150,7,11,7/30/2017,0.58,1,46
18775936,The Tower at Overlook,119120632,Casey,,Arbor Lodge,45.56770229,-122.6982727,Entire home/apt,169,3,7,7/30/2017,5.25,1,162
19054662,Charming Bungalow in N Portland,133008352,Alexander,,Arbor Lodge,45.57410731,-122.6878357,Entire home/apt,145,1,22,8/4/2017,11.58,1,133
6939930,Greeley Manor Garden Suite 1,13611696,John,,Arbor Lodge,45.57632918,-122.6954456,Private room,79,1,44,7/23/2017,1.72,5,73
12269002,Sweet North Portland bungalow.,66084059,Annie,,Arbor Lodge,45.57411792,-122.6946633,Entire home/apt,100,2,11,7/30/2017,0.83,1,15
2071226,Arbor Lodge Craftsman Retreat,10506666,Greg,,Arbor Lodge,45.57531247,-122.6874297,Entire home/apt,164,2,7,7/24/2017,3.96,1,93
8985911,Perfect Portland Pad,328095,Lisa & Stew,,Arbor Lodge,45.56766277,-122.6864387,Entire home/apt,130,1,106,8/1/2017,9.01,1,29
7292504,Saratoga Sweetness: cozy & quiet with private bath,36446072,Pamela,,Arbor Lodge,45.57294448,-122.688227,Private room,61,1,73,7/26/2017,2.96,1,307
531232,Spacious apartment,2609280,Marty,,Arbor Lodge,45.57707163,-122.6960629,Entire home/apt,100,2,75,7/30/2017,1.25,1,358
4840908,Portland-Plush KING/Private Bath,12807678,Tanja,,Arbor Lodge,45.57344396,-122.6877405,Private room,49,1,365,8/2/2017,11.56,3,56
14031109,Peaceful garden bedroom in NoPo,23135284,Alyssa,,Arbor Lodge,45.57515265,-122.697589,Private room,55,2,12,9/20/2016,0.94,1,0
9712130,Comfort and convenience with private bath.,39022970,Ed & Ann,,Arbor Lodge,45.56843757,-122.6849907,Private room,55,2,11,7/9/2017,0.76,2,141
12905000,Cute Home Near Light Rail,333173,Kathy,,Arbor Lodge,45.57365401,-122.6846656,Entire home/apt,63,3,4,12/22/2016,0.29,2,54
2220926,Bright Vintage Modern Home,927820,Adam,,Arbor Lodge,45.56899545,-122.6871591,Entire home/apt,145,1,18,7/23/2017,0.47,1,163
13859584,Cozy micro apartment on MAX line,5767401,Jocelyn,,Arbor Lodge,45.57094707,-122.6837588,Private room,60,2,49,8/1/2017,4.11,1,315
7591432,1 Bedroom Unit in New House,12340051,Mike,,Arbor Lodge,45.57600322,-122.6803623,Entire home/apt,69,2,20,7/23/2017,0.85,1,157
17849874,Garden Bungalow,1391205,Clarissa,,Arbor Lodge,45.57326028,-122.6848942,Entire home/apt,150,3,8,7/29/2017,2.76,1,0
10313299,Portland's Arbor Lodge one bed,52139625,Brian,,Arbor Lodge,45.57280167,-122.6986411,Entire home/apt,99,2,32,7/22/2017,1.8,1,320
19659689,"Modern, Bright, Private and Convenient",20905228,John,,Arbor Lodge,45.56884296,-122.6834193,Entire home/apt,120,2,2,7/28/2017,2,1,156
2569391,Portland-1000sf basement apt./queen,12807678,Tanja,,Arbor Lodge,45.57282921,-122.6888766,Entire home/apt,79,1,289,8/3/2017,7.19,3,64
11134954,Artist loft in Arbor Lodge,57864996,Scott,,Arbor Lodge,45.57462196,-122.6920085,Entire home/apt,80,3,41,7/24/2017,2.78,1,309
4512938,Bud & Breakfast: Taking the High Road!,13611696,John,,Arbor Lodge,45.5752638,-122.6961208,Private room,79,1,45,6/20/2017,1.42,5,317
4977675,Colorful Queen With a Private Bath,16017684,Jessie,,Arbor Lodge,45.56686867,-122.6844854,Private room,59,2,52,7/20/2017,1.8,1,149
9631880,Charming Hideaway in Arbor Lodge,596414,Travis,,Arbor Lodge,45.56828329,-122.6878296,Private room,45,2,8,7/5/2017,0.39,1,349
758814,"Between ""hip and home"" (and park)!",3493601,Sandi,,Arbor Lodge,45.57285651,-122.6939848,Private room,75,3,75,7/24/2017,1.3,1,351
19733795,Private Spacious Mother in Law,2909470,Lori,,Arbor Lodge,45.57272102,-122.6809543,Entire home/apt,90,2,0,,,1,135
10673527,Sunny room near U of Portland,9464556,Gail,,Arbor Lodge,45.57694632,-122.7017839,Private room,54,2,54,4/11/2017,2.93,1,210
16519704,Greenwich Place,108570373,James,,Arbor Lodge,45.57172063,-122.6842879,Entire home/apt,75,2,10,7/29/2017,7.69,1,150
7566204,Greeley Manor Garden Suite 2,13611696,John,,Arbor Lodge,45.57501784,-122.6946836,Private room,79,1,24,7/28/2017,0.98,5,345
13300578,Your urban place minutes away from downtown,20046520,Sona (& Jeffrey),,Arbor Lodge,45.56869685,-122.6958226,Entire home/apt,120,5,1,7/6/2016,0.08,1,0
9254568,The Craftsman on Curtis - 2bd + 1 den HM.,43717096,Ken,,Arbor Lodge,45.56788034,-122.6977333,Entire home/apt,185,1,133,8/1/2017,6.72,1,148
14077766,Urban Wine Cellar Getaway,8121574,Shirley,,Arbor Lodge,45.56635742,-122.6928161,Entire home/apt,95,2,37,7/31/2017,3.02,1,155
20196880,Cheerful Vintage Farmhouse in the City,119485170,Nina,,Arbor Lodge,45.56702673,-122.6925946,Entire home/apt,109,1,0,,,1,121
11236812,North Portland Bungalow,16297531,Jodie,,Arbor Lodge,45.57296126,-122.7017343,Entire home/apt,150,1,1,4/7/2016,0.06,1,0
