id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3835937,Close to downtown Portland ,19756066,Randal,,Sullivan's Gulch,45.535099715106135,-122.63842295787813,Private room,77,1,151,2016-12-04,5.35,1,359
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53396442759364,-122.64852666243107,Shared room,47,1,50,2016-11-20,4.79,7,365
15358320,Bohemian Escape,78494301,Pamela,,Sullivan's Gulch,45.532048225603695,-122.64122311847831,Private room,65,2,4,2016-11-27,2.93,1,170
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303138804,-122.64248066028327,Private room,52,2,98,2016-11-24,3.74,2,364
13031007,Best Neighborhood--3 Bed Apartment,636668,Sara Osheroff,,Sullivan's Gulch,45.534087490534844,-122.6366259278555,Entire home/apt,95,2,21,2016-11-22,3.39,1,351
15140856,Plain bare room in Sullivan's Gulch,93288366,Erica,,Sullivan's Gulch,45.534266556442304,-122.64067713479531,Private room,40,1,16,2016-11-20,6.32,1,178
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,95,1,100,2016-11-21,3.22,1,332
14780717,Pension Portlandia: Close in Convenience,5670387,David And Debra,,Sullivan's Gulch,45.533818148185404,-122.64176599914155,Entire home/apt,95,1,0,,,1,353
4000140,Heart of Portland! Adorable studio.,20738963,Jodi,,Sullivan's Gulch,45.53331340012331,-122.64516932856453,Entire home/apt,60,3,104,2016-11-20,3.79,1,338
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,100,1,105,2016-11-23,4.57,7,341
6122610,"LOCATION NE! : ""Mt Adams"" King bed",17261537,Ian & Sharmil,,Sullivan's Gulch,45.5345507451,-122.64799699039284,Private room,75,1,95,2016-12-04,5.00,7,355
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,47,1,107,2016-11-22,6.45,2,354
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390003542872,-122.650292210428,Private room,35,5,1,2015-06-15,0.06,1,0
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202153487,-122.63751758894831,Entire home/apt,115,2,17,2016-10-30,2.17,1,24
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,65,1,117,2016-12-02,6.14,7,330
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,100,1,96,2016-11-19,4.26,7,335
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53417600078901,-122.64692082305606,Shared room,47,1,47,2016-12-04,4.61,7,365
13962174,Quiet room near Convention Center/Downtown PDX,470854,Lydia,,Sullivan's Gulch,45.53345150034767,-122.63833069786257,Private room,60,2,3,2016-08-10,0.70,2,0
15164727,NE BUNK-HOUSE : Single bed - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53415374734954,-122.6484272810357,Shared room,47,1,10,2016-11-29,5.66,7,356
15164536,NE BUNK-HOUSE : Single bed - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53393206860909,-122.64720554334028,Shared room,42,1,11,2016-12-04,4.40,7,365
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,70,1,129,2016-11-23,5.85,7,324
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273356919601,-122.63972491079328,Entire home/apt,59,2,93,2016-11-23,3.22,1,349
16042773,Private Suites Near It All- Room #5,3029738,Phil,,Sullivan's Gulch,45.53246806000895,-122.64779830772206,Private room,100,1,0,,,7,8
14505032,"New & Nearby Convention Center (2bd, 1bth)",45410272,Omar & Amanda,,Sullivan's Gulch,45.53087029937938,-122.64446324120773,Entire home/apt,100,1,30,2016-12-04,10.00,1,61
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.532106685559235,-122.644472266018,Private room,70,1,0,,,1,0
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,100,1,105,2016-11-19,4.74,7,346
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,85,2,135,2016-12-05,4.65,1,332
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342392331,-122.63679555169614,Entire home/apt,175,3,4,2016-10-24,0.88,2,0
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898030711,-122.64842754117804,Private room,110,1,45,2016-11-22,5.11,7,323
5794291,Private suites near it all- Room #6,3029738,Phil,,Sullivan's Gulch,45.533373135355866,-122.64823571872927,Private room,100,1,74,2016-11-23,4.25,7,334
6031121,Cozy stay in modern 1924 Craftsman,9388547,Arian,,Hollywood,45.535768148128525,-122.61622198825988,Private room,68,2,42,2016-11-26,2.23,1,304
14995423,Vintage Craftsman Charmer!,8926269,Lora,,Hollywood,45.53757695466487,-122.6220366093606,Private room,120,1,17,2016-11-20,6.22,1,179
4811271,Full home centrally located in NE Portland,11306582,Josh,,Hollywood,45.53212972179269,-122.61576947017772,Entire home/apt,175,3,2,2016-08-31,0.13,1,0
1850556,The Nest,9663989,Laura,,Hollywood,45.53679654660679,-122.62354832516398,Entire home/apt,79,1,268,2016-12-07,7.72,1,305
15289907,Best of both worlds,4267438,Marco,,Hillside,45.525359253707336,-122.7080137198179,Entire home/apt,549,1,0,,,1,303
5869742,Private Studio Next to Forest Park,30478213,Wildwood Grotto - Ernie And Greg,,Hillside,45.52202968022729,-122.72283945217383,Entire home/apt,120,1,83,2016-11-14,4.51,1,365
692488,Classic Northwest Villa,3541177,Jerry,,Hillside,45.52752631570706,-122.70685139295804,Entire home/apt,99,2,199,2016-11-21,3.88,1,320
14961205,NW Portland's Stairway to Heaven,17889445,Amy,,Hillside,45.52649365445863,-122.70887091687527,Private room,115,1,6,2016-12-04,2.69,1,40
14267365,NW Portland Hillside Hideaway,8166871,Ed & Kyle,,Hillside,45.52135676815572,-122.72579967896546,Private room,93,1,17,2016-11-26,7.08,1,141
6951336,"City Lights, Hikes, Sites & Bites",36444548,Sharon,,Hillside,45.525760598562925,-122.71160615045011,Entire home/apt,125,2,3,2016-11-26,3,1,179
13607120,Vintage Modern Urban Oasis,15622775,Melissa,,Hillside,45.525635331668305,-122.71218820412797,Entire home/apt,120,29,6,2016-10-16,1.23,3,346
8811960,Bedroom with bath and 2 beds,22562487,Cole,,Sylvan-Highlands,45.518820258272946,-122.72744648510994,Private room,68,2,2,2016-03-23,0.14,2,0
6055815,Sylvan Highlands Homestead Retreat,24453020,Kelly,,Sylvan-Highlands,45.51403407066716,-122.73724821875206,Entire home/apt,220,4,9,2016-08-10,0.51,1,0
13733398,"Luxury, Minutes to Downtown Near Pittock Mansion",1783566,Alana & Ryan,,Sylvan-Highlands,45.51973024126948,-122.72649975770337,Entire home/apt,225,2,9,2016-11-28,1.79,1,50
4493001,Mad Court House - Private Apartment,22904946,Zoe And Sibyl,,Sylvan-Highlands,45.51228527935314,-122.738680534454,Entire home/apt,120,2,46,2016-11-12,2.02,1,163
7150418,Forested retreat minutes from downtown Portland,14747173,Roy,,Sylvan-Highlands,45.512812643067214,-122.73059541534488,Entire home/apt,79,5,4,2016-09-10,0.26,1,82
3584939,1920's Charmer in Arbor Lodge,7097644,Kelly,,Arbor Lodge,45.57168160688113,-122.6960172983989,Entire home/apt,120,2,47,2016-10-09,1.63,1,65
2016730,"Private Space in NoPo, kid friendly",1307081,Sarah,,Arbor Lodge,45.5678246638434,-122.69417091383697,Private room,60,2,7,2014-08-04,0.20,1,365
10673527,Sunny room near U of Portland,9464556,Gail,,Arbor Lodge,45.5769463218082,-122.7017839427415,Private room,54,2,45,2016-11-30,4.33,1,340
9310996,Suite by University of Portland,1034192,Tyler,,Arbor Lodge,45.57625550582561,-122.7074654076252,Private room,58,2,13,2016-10-10,1.65,1,26
14524327,Arbor Lodge Guest House - The Writer's Room,76940848,Natasha,,Arbor Lodge,45.57002728017698,-122.69958037941795,Private room,55,2,1,2016-10-23,0.64,3,52
