id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7893,North Williams 2brm Home,21489,Jesse,,Piedmont,45.575478987075435,-122.66677723241864,Entire home/apt,175,3,2,2014-08-12,0.02,1,0
12899,"Alberta Arts - 2 bedroom apt, charming 1906 house",49682,Ali And David,,Concordia,45.564009704106944,-122.6347169475799,Private room,65,2,450,2018-01-30,4.59,1,339
16688,Beautiful condo (#1) in NW Pearl Downtown Portland,64840,Ashish,,Pearl,45.52541792712173,-122.6855655732488,Entire home/apt,295,2,12,2017-12-03,1.26,1,352
25200,Flamenco Dream :: hip mississippi ave.,104038,The Arias Clan,,Humboldt,45.55674958351389,-122.67783932796249,Private room,81,3,28,2012-09-04,0.30,3,179
26203,Bluebird @ hip mississippi ave,104038,The Arias Clan,,Humboldt,45.55696463838411,-122.67565589323581,Private room,81,3,20,2017-11-26,0.21,3,73
29931,Lovely 3br SW Victorian w/ Hot Tub,79786,Ken,,Hayhurst,45.48278164171082,-122.72089109664392,Entire home/apt,200,2,48,2018-01-21,0.52,3,143
31696,"In NY Mag: Hip, Eco, True Portland",136289,George,,King,45.554299618897645,-122.66391045050909,Entire home/apt,20,1,99,2015-11-29,1.08,1,0
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555361687026,-122.68193014239843,Entire home/apt,175,6,108,2017-10-16,1.17,1,355
39938,Hip Guest House in Trendy NE Portland!,171371,Sarah,,Woodlawn,45.574279062191216,-122.6459426659278,Private room,29,1,191,2018-02-04,5.39,3,349
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935295226489,-122.58425487728277,Entire home/apt,70,3,156,2018-01-02,1.71,2,351
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889230286,-122.58553680412383,Entire home/apt,61,3,136,2017-08-24,1.69,2,365
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.528174206260026,-122.63581985893188,Private room,59,3,61,2017-11-06,3.56,2,355
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.525315106742354,-122.6327176209322,Private room,77,3,39,2017-11-07,2.05,2,362
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56180532625343,-122.65096864956254,Entire home/apt,95,2,11,2012-11-16,0.13,1,344
61677,"HUGE Peaceful Oasis upstairs, Reed",298438,Deborah,,Reed,45.488453338060964,-122.62632966213748,Private room,49,3,95,2016-07-30,1.12,1,262
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294237762957,-122.71921538542263,Entire home/apt,90,31,44,2017-09-30,0.51,3,166
