id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7893,North Williams 2brm Home,21489,Jesse,,Piedmont,45.575478987075435,-122.66677723241864,Entire home/apt,175,3,2,2014-08-12,0.02,1,0
12899,"Alberta Arts - 2 bedroom apt, charming 1906 house",49682,Ali And David,,Concordia,45.564009704106944,-122.6347169475799,Private room,65,2,449,2017-12-06,4.62,1,331
16688,Beautiful condo (#1) in NW Pearl Downtown Portland,64840,Ashish,,Pearl,45.52541792712173,-122.6855655732488,Entire home/apt,295,2,12,2017-12-03,1.37,1,354
25200,Flamenco Dream :: hip mississippi ave.,104038,The Arias Clan,,Humboldt,45.55674958351389,-122.67783932796249,Private room,81,3,28,2012-09-04,0.30,2,89
26203,Bluebird @ hip mississippi ave,104038,The Arias Clan,,Humboldt,45.55696463838411,-122.67565589323581,Private room,81,3,20,2017-11-26,0.22,2,81
27746,Big room-with private bath and deck,119878,Julie,,Southwest Hills,45.49629381833331,-122.74686416698358,Private room,79,1,120,2018-01-04,1.29,3,364
29931,Lovely 3br SW Victorian w/ Hot Tub,79786,Ken,,Hayhurst,45.48278164171082,-122.72089109664392,Entire home/apt,200,2,47,2018-01-10,0.51,3,141
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555361687026,-122.68193014239843,Entire home/apt,175,6,108,2017-10-16,1.18,1,356
39938,Hip Portland Guest House - 420 Friendly,171371,Sarah,,Woodlawn,45.574279062191216,-122.6459426659278,Private room,29,1,188,2018-01-01,5.42,3,351
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935295226489,-122.58425487728277,Entire home/apt,70,3,156,2018-01-02,1.72,2,362
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889230286,-122.58553680412383,Entire home/apt,61,3,136,2017-08-24,1.70,2,365
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.528174206260026,-122.63581985893188,Private room,59,3,61,2017-11-06,1.32,2,362
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.525315106742354,-122.6327176209322,Private room,77,3,39,2017-11-07,1.19,2,362
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56180532625343,-122.65096864956254,Entire home/apt,95,2,11,2012-11-16,0.14,1,321
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294237762957,-122.71921538542263,Entire home/apt,90,31,44,2017-09-30,0.52,3,144
65067,Fully Equipped Apartment,119878,Julie,,Southwest Hills,45.497615076126245,-122.74590789174829,Entire home/apt,110,2,45,2017-08-29,0.58,3,359
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661392693235,-122.60892070183002,Private room,60,2,116,2017-10-28,2.15,1,359
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078431306171,-122.67491542364492,Entire home/apt,175,3,192,2017-11-20,2.34,1,361
67532,LGBT Friendly Room in N. Portland,333173,Kathy,,Arbor Lodge,45.57099939213224,-122.68367773356717,Private room,40,1,112,2017-09-25,1.32,2,364
69978,One Bedroom/Outside Sauna!,352812,Santha And Michael,,Irvington,45.54067414657943,-122.6573921765829,Private room,75,3,201,2017-11-17,2.79,1,343
77522,"Comfy Suite Near Reed College, Hot Tub, Pets OK",345461,Diane,,Eastmoreland,45.46992466746874,-122.63217674127986,Private room,55,2,61,2017-12-14,0.84,1,259
78509,Powell Butte-City Views- Maple Room,421792,Jesse,,Powellhurst-Gilbert,45.48608392978329,-122.52273041761627,Private room,60,28,40,2017-12-09,0.49,4,304
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.55479808067022,-122.65160304559913,Private room,43,1,62,2017-08-14,0.94,6,365
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55747653730152,-122.63037719254734,Private room,59,2,150,2017-11-12,1.85,1,180
95313,Warm+Cozy Apt nr Dining/Alberta/Bus,507756,Andrée,,Woodlawn,45.5737042170358,-122.65064195378089,Entire home/apt,69,1,351,2017-12-29,4.32,2,80
95557,Egregiously SE Portland #2 Clinton,51949,Amy,,Hosford-Abernethy,45.50455964072613,-122.64692589325853,Entire home/apt,200,2,176,2017-12-22,2.17,1,348
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.538952464772684,-122.65155543322967,Entire home/apt,165,1,80,2018-01-01,1.11,2,279
99606,The Hawthorne Retreat- Private Room in Family Home,130376,Jamie,,Sunnyside,45.51217113872452,-122.61862487929079,Private room,55,2,30,2017-09-22,0.37,1,364
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.554837020269964,-122.65114399545072,Private room,23,1,54,2017-11-18,0.68,6,365
115223,Sellwood Guest Studio-Private Entry,238142,Rose,,Sellwood-Moreland Improvement League,45.46782655739054,-122.65556791421501,Entire home/apt,59,1,58,2018-01-09,0.73,2,362
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Richmond,45.50987636907298,-122.63130147728755,Entire home/apt,110,2,115,2018-01-15,3.57,2,175
131088,Second floor garden apartment ,2513602,Jeannette,,Cully,45.5602812976037,-122.6171008420988,Entire home/apt,81,2,31,2017-12-16,0.58,2,365
134282,A Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.55205428561836,-122.67517162385428,Entire home/apt,116,3,34,2017-11-25,0.44,3,103
139344,La Palapa!,679623,Emilie,,Humboldt,45.5585541021643,-122.66996914730194,Entire home/apt,100,1,98,2017-12-31,1.24,1,14
140614,Bright bsmt apartment near Alberta,491587,Jeanne,,Concordia,45.56577105035987,-122.6408768275586,Entire home/apt,115,4,53,2017-03-25,0.67,4,365
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54028688437054,-122.65006092068198,Entire home/apt,99,1,65,2018-01-15,0.87,2,316
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.53007914813224,-122.59075405336085,Private room,65,3,61,2017-12-28,0.77,1,290
182450,SE PDX home near Division,52505,Judy,,Richmond,45.50522400191173,-122.63276510316054,Entire home/apt,76,7,7,2017-10-16,0.11,2,43
182465,Great Breakfast Art filled SE home,52505,Judy,,Richmond,45.507543105501064,-122.63268339590319,Private room,59,2,248,2018-01-01,3.16,2,161
195115,Modern Montavilla studio apartment,948255,Nathan,,Montavilla,45.528164065065724,-122.57927299555065,Entire home/apt,69,180,26,2015-05-28,0.33,1,291
195632,Portland's funnest & finest destination location!,659137,Anjali,,Boise,45.5527992640601,-122.67728550341988,Entire home/apt,89,28,58,2017-07-05,0.74,3,87
195659,Not listed,659137,Anjali,,Boise,45.55094838802835,-122.67579462255179,Private room,130,3,1,2012-08-18,0.02,3,170
196035,Cozy Furnished Studio in Brooklyn,953811,Brooklyn B&B,,Brooklyn Action Corps,45.491109833456555,-122.65344364482736,Private room,85,2,111,2017-09-18,1.43,1,44
197191,Home Near Alberta St & Williams St,960864,Naomi,,King,45.552128834353894,-122.65933345166795,Entire home/apt,500,2,78,2017-10-16,1.16,3,86
199683,"Authentic Portland Flavor, Central!",975606,Leo,,Rose City Park,45.544194365087556,-122.60362330943695,Private room,49,30,39,2016-08-30,0.57,3,364
200242,Full-Amenities Mississippi Home,477434,Roni,,Boise,45.54962584322993,-122.67246924149536,Entire home/apt,120,2,12,2017-08-01,0.21,1,90
203462,"Luxury 4BR/3BA above Dwntn, up to 9",890334,Alfred,,Forest Park,45.552814455828134,-122.77245920392002,Entire home/apt,275,5,50,2018-01-05,0.66,3,365
204002,NW Nob Hill Serene City Bedroom,1001311,Alleyn,,Northwest District,45.53445430124331,-122.70696384071692,Private room,75,1,378,2018-01-10,4.87,4,327
205616,Six bedroom Victorian B&B,1011157,Jody,,Irvington,45.537445176881256,-122.64931693283283,Entire home/apt,599,2,43,2017-11-25,1.27,7,160
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,,Arbor Lodge,45.56781291717655,-122.67923359982588,Private room,44,2,80,2017-11-12,1.04,2,106
213600,Clinton neighborhood cottage,37875,Rachelle,,Hosford-Abernethy,45.505672037160856,-122.64547845547153,Entire home/apt,124,2,132,2017-12-24,4.23,1,76
217607,OldTown Long Term Stay 1/1 Loft,971012,Echo,,Old Town/Chinatown,45.52711871302876,-122.67564312286588,Entire home/apt,90,30,31,2017-06-17,0.41,2,244
218708,Amazing Location in NE King Suite,6313800,Margot,,Kerns,45.52183842389704,-122.63537970214877,Entire home/apt,155,2,121,2017-11-26,1.57,6,353
222209,"NW Oasis: Clean, posh suite, full bath, own entry!",890334,Alfred,,Forest Park,45.55296209064365,-122.7744777271977,Private room,109,5,24,2017-08-21,0.34,3,364
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,,Overlook,45.55821274692815,-122.69223109186466,Private room,65,2,78,2017-12-31,1.02,3,70
225925,Guestroom - Compassionate SafeSpace Community Home,501499,Isaac,,Brooklyn Action Corps,45.49717936885841,-122.65140512806538,Private room,39,2,23,2017-07-22,0.62,1,364
