id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7893,North Williams 2brm Home,21489,Jesse,,Piedmont,45.575478987075435,-122.66677723241864,Entire home/apt,175,3,2,2014-08-12,0.02,1,0
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.564009704106944,-122.6347169475799,Private room,65,2,478,2018-07-08,4.64,1,294
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,,Pearl,45.52541792712173,-122.6855655732488,Entire home/apt,295,2,28,2018-07-01,1.92,1,333
25200,Flamenco Dream :: hip mississippi ave.,104038,Garden,,Humboldt,45.55674958351389,-122.67783932796249,Private room,69,7,29,2018-02-19,0.29,4,177
26203,Bluebird @ hip mississippi ave,104038,Garden,,Humboldt,45.55696463838411,-122.67565589323581,Private room,69,30,26,2018-05-22,0.26,4,97
29931,Lovely 3br SW Victorian w/ Hot Tub,79786,Ken,,Hayhurst,45.48278164171082,-122.72089109664392,Entire home/apt,200,2,51,2018-07-01,0.52,3,267
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555361687026,-122.68193014239843,Entire home/apt,175,6,111,2018-07-02,1.14,1,319
39938,"Close to Airport, Downtown, Great Restaurants! (1)",171371,Sarah,,Woodlawn,45.574279062191216,-122.6459426659278,Private room,29,1,222,2018-07-09,5.48,3,337
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935295226489,-122.58425487728277,Entire home/apt,70,3,163,2018-07-08,1.69,2,351
42347,Portland is Accessible!,184886,Sharon,,Laurelhurst,45.52211189166995,-122.63146844306422,Private room,55,2,164,2018-06-17,1.71,1,79
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889230286,-122.58553680412383,Entire home/apt,61,3,143,2018-07-08,1.67,2,357
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.528174206260026,-122.63581985893188,Private room,61,3,65,2018-07-01,1.25,2,349
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.525315106742354,-122.6327176209322,Private room,78,3,41,2018-05-30,1.06,2,359
