id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56401,-122.63472,Private room,65,2,517,6/4/2019,4.53,1,296
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,,Pearl,45.52542,-122.68557,Entire home/apt,275,2,61,6/2/2019,2.38,1,322
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,52,5/12/2019,0.48,3,285
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,125,6,115,4/7/2019,1.06,1,307
39938,Great Neighborhood | 420 Friendly,171371,Sarah,,Woodlawn,45.57428,-122.64594,Private room,29,1,251,12/26/2018,4.86,3,157
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,70,3,205,5/25/2019,1.91,2,354
42347,Portland is Accessible!,184886,Sharon,,Laurelhurst,45.52211,-122.63147,Private room,55,2,181,5/19/2019,1.69,1,93
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,79,3,174,6/5/2019,1.8,2,355
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.52817,-122.63582,Private room,61,3,76,5/30/2019,1.2,2,356
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.52532,-122.63272,Private room,78,3,47,3/30/2019,0.95,2,362
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56181,-122.65097,Entire home/apt,95,2,11,11/16/2012,0.11,1,126
61677,Large Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,,Reed,45.48845,-122.62633,Private room,40,6,111,3/16/2019,1.1,2,161
61893,NW 23rd St. Nob Hill Gem — Walk to everything!,300391,Matt,,Goose Hollow,45.52208,-122.69979,Entire home/apt,140,30,6,5/31/2019,0.19,1,91
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294,-122.71922,Entire home/apt,90,31,45,2/21/2018,0.44,3,87
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,145,5/27/2019,2.04,1,312
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,175,2,235,5/26/2019,2.34,1,300
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,25,4/14/2019,0.25,1,75
75460,"Close in, private apartment",250400,Dan,,Kerns,45.52573,-122.63659,Entire home/apt,75,2,400,11/4/2018,3.97,3,0
77522,"Comfy Suite In Eastmoreland, Pets Welcome",345461,Diane,,Eastmoreland,45.46992,-122.63218,Private room,55,2,72,5/8/2019,0.8,1,270
78509,Powell Butte-City Views- Maple Room,421792,Jesse,,Powellhurst-Gilbert,45.48608,-122.52273,Private room,60,1,49,5/17/2019,0.5,5,294
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.5548,-122.6516,Private room,43,5,62,8/14/2017,0.66,5,306
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,59,2,160,5/27/2019,1.64,1,111
