id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license
1918256,Spacious Suite in Multnomah Village,5406105,Brandy & Miles,Ashcreek/Crestwood,45.45826971622014,-122.7218330497721,Private room,67,1,69,2015-02-16,4.5,1,344,
4794903,More than just a room in Irvington,24710119,Jennifer,Sabin/Irvington,45.54761570420024,-122.6453750826504,Private room,79,1,1,2015-02-15,1,1,364,
658841,Beautiful Retreat in the West Hills,2485383,Susie,Bridlemile/Southwest Hills,45.49878859778009,-122.71700361368269,Entire home/apt,250,5,29,2014-12-27,1.0,1,365,
2359893,Hill Top House near the Zoo,5586142,Kris,Sylvan-Highlands,45.515146759981796,-122.73489484966554,Entire home/apt,95,3,6,2015-01-18,0.5,1,349,
5161597,Dorm Room Exotique at Reed College,25666984,Eloise,Eastmoreland/Reed,45.48284128616143,-122.63458721526038,Shared room,17,1,0,,,1,363,
5181538,Incredible City and Mountain Views,21980452,Andrew,Hillside/Northwest District,45.52548444266286,-122.7012944724258,Entire home/apt,122,1,0,,,1,335,
5134311,"Tranquil Forest Studio, Big Views",21060164,Jon,Goose Hollow/Southwest Hills,45.51249831782938,-122.69152885187547,Entire home/apt,87,3,3,2015-02-28,3,1,320,
2566150,European Inspired Guestroom ,13138438,Peter And Lila,Lents,45.46066953120822,-122.56540200741385,Private room,39,2,42,2015-02-17,3.9,1,348,
942885,Simple and Spacious on NW 23rd ,5097860,Max & Sam,Hillside/Northwest District,45.5268172429168,-122.70156011251774,Entire home/apt,160,3,48,2015-02-16,2.0,1,44,
4810197,"Clean, quiet, private bath",17929506,Jill,Alameda/Irvington,45.54805045184133,-122.63935744724498,Private room,55,1,0,,,1,345,
3877630,Inviting Irvington:: inner NE PDX,20039041,Alice,Sabin/Irvington,45.54767539188974,-122.64907981702129,Entire home/apt,199,3,1,2014-12-31,0.5,1,171,
4759479,FurnishDaylight basement 2 week min,8372576,Elliott,Forest Park,45.53268370145559,-122.73130197082159,Entire home/apt,60,14,0,,,1,73,
3030636,Sanctuary in the Woods,15436532,Marlene,Forest Park,45.58522702698348,-122.80592706204122,Entire home/apt,195,2,22,2015-01-05,2.3,2,154,
4509295,Private Room - Powell Butte Getaway,20483348,Ellie & Mike,Centennial/Pleasant Valley,45.4894259460794,-122.49018910599251,Private room,35,1,4,2015-02-17,4,1,358,
4145092,large sunny private room ,7503156,Liz,Alameda/Irvington,45.54760309923544,-122.63952079328777,Private room,65,1,4,2014-11-16,0.8,1,365,
5287934,Heart of NW Portland!Walk to it all,27286031,Mike,Hillside/Northwest District,45.52589258326467,-122.70072920816598,Entire home/apt,172,2,0,,,1,312,
2695442,Portland Pied a Terre,2536495,Mary,Alameda/Irvington,45.54315319684834,-122.64071571044322,Private room,80,1,19,2015-02-25,2.3,1,360,
1918858,Nob Hill/NW 23rd #3,9840423,Vladimir,Hillside/Northwest District,45.52390247052614,-122.69935437262765,Entire home/apt,125,1,3,2014-06-02,0.2,8,309,
5067611,Goose Hollow Oasis with a view!,26168105,Lindsey,Goose Hollow/Southwest Hills,45.51325288280245,-122.69053686611159,Entire home/apt,99,1,0,,,1,44,
140614,Bright bsmt apartment near Alberta,491587,Jeanne,Sabin/Irvington,45.54679305035987,-122.6449738275586,Entire home/apt,125,5,48,2014-04-22,1.1,4,365,
1155611,bed room with two bed ,6332840,Julia,Cully,45.57134325492607,-122.58202224716236,Private room,100,2,0,,,1,365,
396881,Gracious lodging in Forest Park,1974595,Margie,Forest Park,45.533795443997974,-122.73109565605408,Private room,126,1,35,2015-01-19,1.1,1,331,
1687235,Entire daylight basement,8917951,David,Sylvan-Highlands,45.5133097296939,-122.74698397103698,Private room,53,1,2,2013-10-08,0.1,1,304,
3380405,Forest Park NW Portland,17054334,Tahn,Forest Park,45.53107953515547,-122.73212687582172,Private room,45,1,62,2015-02-15,7.4,1,360,
3971930,Living the Good life in Portlandia,20585760,Susan,Sabin/Irvington,45.54820529737824,-122.65220412981246,Private room,75,1,5,2014-10-14,0.8,1,351,
4659011,Private Apartment ,24110245,Clarke,Goose Hollow,45.52229431101534,-122.69826196814087,Private room,125,1,1,2014-12-08,0.4,1,365,
2367793,The Colony 'Landing Pad',12096921,Colony,St. Johns,45.590739989128224,-122.74977835556105,Entire home/apt,140,1,1,2014-07-09,0.1,3,316,
4672096,Entire 2nd Floor in 1920's Bungalow,22382491,Elissa,Roseway/Madison South,45.544327796288016,-122.58263855047373,Private room,45,1,2,2015-02-22,2,1,364,
5466149,Private Bed and Bath in Lents,28349711,Noreen,Lents/Powellhurst-Gilbert,45.49304718709974,-122.56264266721351,Private room,40,1,0,,,1,364,
1918621,Nob Hill/NW 23rd #4,9840423,Vladimir,Hillside/Northwest District,45.524215580808,-122.7002415375183,Entire home/apt,125,2,10,2015-01-28,0.7,8,334,
718160,"Great location, super comfortable",1153199,Phil,Boise,45.55127579499711,-122.66954147264462,Entire home/apt,55,1,79,2015-02-05,2.7,1,282,
639236,Bird's Eye Master w/Spa-like Bath ,3190134,Jennifer,Hillsdale,45.486400797445086,-122.6927353708673,Private room,240,2,13,2014-08-17,0.6,2,365,
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,Overlook,45.55821274692815,-122.69223109186466,Private room,55,2,51,2014-11-17,1.2,3,362,14-227741-000-00-HO
4767318,Room in Bright Remodeled 1926 Home,15771556,Marcus,Piedmont,45.57095438790073,-122.67630841174632,Private room,41,2,2,2015-01-01,0.9,3,59,
5441915,St. Johns Saltbox,3410268,Amy,St. Johns,45.59106455779845,-122.74486491702484,Entire home/apt,90,3,0,,,1,359,
2488777,The Colony 'Bones & Arrows',12096921,Colony,St. Johns,45.59058117732797,-122.75077044180944,Entire home/apt,195,2,0,,,3,350,
4979141,Historic True Loft,25667910,Armando,St. Johns,45.58895074956245,-122.75236010220098,Entire home/apt,100,3,0,,,1,151,
2650533,The Colony 'Hide Away' Trailer,12096921,Colony,St. Johns,45.58897538382979,-122.7514547151924,Entire home/apt,75,1,6,2014-10-18,0.8,3,357,
1221030,Cozy inviting home in St Johns,6660598,Kell,St. Johns,45.59940866120131,-122.74888353378134,Entire home/apt,100,3,19,2014-11-29,1.0,1,335,
4279945,Cozy Updated 1920's Bungalow,21708341,Clayton,St. Johns,45.58910220785045,-122.73983443966537,Entire home/apt,125,2,0,,,1,119,
676297,Private Downstairs Skater Paradise!,3436991,Jocelyn,St. Johns,45.597114440478514,-122.75232781814492,Private room,67,1,21,2014-09-09,1.0,1,365,
2439835,"Large, cozy St Johns room",972368,Andrea,St. Johns,45.593686114722395,-122.7419295583741,Private room,90,1,1,2014-04-04,0.1,2,172,
3290914,Artsy Charm 2+BR Home within a Home,4883621,Dana,St. Johns,45.58666088220781,-122.74539203309654,Entire home/apt,125,1,3,2015-02-15,3,1,349,
4480510,Morning Paradise,23220130,Ashley,St. Johns,45.59412433158551,-122.75327939480397,Private room,60,1,0,,,1,365,
5269399,"N Portland twnhse, 2/1, practical",18425876,Rich,St. Johns,45.59339224489901,-122.72915032537678,Entire home/apt,58,1,6,2015-02-22,6,1,33,
199089,A spot to hang your hat in Portland,972368,Andrea,St. Johns,45.59280900701793,-122.74002227953007,Private room,75,1,5,2014-12-25,0.3,2,357,
4739563,Private Room St. Johns N. Portland,8056653,Francis,St. Johns,45.595268817674146,-122.73443392089385,Private room,35,2,0,,,1,61,
5372334,Inspiring the Arts in Forest Park ,25373821,Esther,Linnton,45.593638883134005,-122.78149999412662,Private room,75,1,0,,,1,364,
2636510,"Modern Oasis in St Johns, Portland",13462816,Peter,St. Johns,45.59037534321485,-122.75626982964287,Private room,55,1,4,2014-09-22,0.4,1,309,
511770,Portland Urban Farm: Sun Room Queen,2492074,Mizu,St. Johns,45.59728213855283,-122.75426415018248,Private room,100,2,49,2013-08-25,1.5,2,365,
3761780,Cozy Room In Lovely Home,19266113,Reeva,St. Johns,45.60274668419857,-122.75877009804883,Private room,55,1,0,,,1,186,
505493,Portland Urban Farm: King Bedroom ,2492074,Mizu,St. Johns,45.59820912295785,-122.75580026123107,Private room,118,2,39,2013-09-04,1.2,2,365,
5296422,North Portland Vintage Bungalow,3989389,Jean,Overlook,45.55531105008351,-122.68335008560108,Entire home/apt,145,7,0,,,1,30,
3378519,Quiet backyard 15 minutes to Pearl ,17043923,Betsy,St. Johns,45.59562343527764,-122.76040573894078,Entire home/apt,100,1,1,2014-11-24,0.3,1,211,
2079752,"The ship ""Zephyr""",2716357,Ashley,Hayden Island,45.606340743021185,-122.65913790032776,Entire home/apt,100,2,47,2015-02-20,3.3,2,74,
1086042,41' Yacht on the Columbia River,2716357,Ashley,Hayden Island,45.604581157973385,-122.6590973681738,Entire home/apt,90,2,104,2015-02-22,4.8,2,71,
3653957,30 foot sailboat w available Capt,18484038,Rhys,Hayden Island,45.60640477780659,-122.65899008598542,Entire home/apt,100,1,1,2014-08-25,0.2,1,365,
3264584,"NW Portland, Condo on the Cliff",16508357,Linda,Linnton,45.58437496073919,-122.76837166258436,Private room,59,2,19,2014-11-20,2.2,1,365,
3741859,CozyRetreat w/Bikes Near Everything,3412716,Ayleen,Woodlawn,45.5680407420845,-122.65363423277967,Private room,46,2,23,2015-02-24,3.4,1,320,14-221992-000-00-HO
4854938,Private upstairs loft serene ,10040687,Megan,Kenton,45.5861279296282,-122.6947467240415,Shared room,45,1,1,2015-02-16,1,2,365,
3604698,2 Bright Rooms for 4 + Private Bath,9260383,Wei,Kenton,45.58662003683797,-122.69613849713892,Private room,90,1,3,2015-01-20,0.6,7,360,
3604734,"Bright, Comfort +Convienence for 2!",9260383,Wei,Kenton,45.587110862440056,-122.69665416817024,Private room,45,1,6,2015-02-17,1.4,7,365,
4264248,A Room w/Everything Needed For Two!,9260383,Wei,Kenton,45.58570159670151,-122.69660904293721,Private room,45,1,4,2014-11-17,0.8,7,365,
4465581,Beautiful Kenton Farmhouse,21045780,Reg,Kenton,45.585188263084056,-122.69775676131773,Entire home/apt,99,5,0,,,1,103,
3779458,Bright Master Bedroom w/ a King Bed,9260383,Wei,Kenton,45.586077962660866,-122.69569977294685,Private room,75,2,0,,,7,365,
3147877,Bright & Convieniet 2 Bds+2 baths!,9260383,Wei,Kenton,45.58658190301743,-122.69578645655083,Entire home/apt,160,2,5,2014-08-24,0.7,7,264,
3984112,Neat+Bright Room for 2+Private Bath,9260383,Wei,Kenton,45.58548099969596,-122.69618292937761,Private room,65,1,4,2014-10-14,0.7,7,365,
4468857,Bright & Convenient 3bds +2 baths!,9260383,Wei,Kenton,45.58686362132381,-122.69665350161523,Entire home/apt,180,2,2,2014-12-29,0.7,7,365,
5242844,Beautiful 1920's Portland Bungalow,3664295,Jonathan & Margi,Kenton,45.58588386441434,-122.69225545144258,Entire home/apt,60,1,1,2015-02-16,1,1,193,
2263408,Private Master Bedroom & Bathroom,4624941,Stephenie,Kenton,45.586002258919436,-122.69132754893049,Private room,55,2,39,2015-02-20,3.5,1,347,
4854601,Charming Bungalow ,10040687,Megan,Kenton,45.58495829684087,-122.69491288644673,Entire home/apt,145,1,2,2015-02-08,1.0,2,357,
4574622,Comfortable place to crash,14288862,Corey,Kenton,45.5819307997111,-122.70044868834843,Private room,37,1,10,2015-02-28,2.8,2,170,
3154530,Fun Summer Sublet with Cat Sit,12965035,Kevin,Kenton,45.584172954095635,-122.70075578799585,Entire home/apt,50,4,2,2014-07-12,0.3,1,148,
4507698,Cozy Kenton Retreat in New House,4166406,Amy,Kenton,45.58031548623319,-122.68830907748978,Private room,60,1,0,,,1,361,
1343144,Bungalow private room - first floor,7284841,Sara,Kenton,45.580916171844684,-122.68782258620574,Private room,65,1,2,2014-08-17,0.2,2,365,
1051919,Large comfortable room on Max & bus,4456464,Maylene & Charity,Kenton,45.581225423539436,-122.68553312639477,Private room,45,1,100,2015-02-24,4.8,4,140,14-242220-000-00-HO
4412762,Private suite in new home! ,22906371,Ben,Kenton,45.580461084145625,-122.68733826432133,Private room,75,1,12,2015-02-26,5.0,1,168,
707532,A Garden Sanctuary with Jacuzzi,3636326,Sheila,Kenton,45.581122956893545,-122.69545910952192,Entire home/apt,150,3,9,2014-11-17,0.4,1,287,
1232883,Basement studio w/jacuzzi near Max,4456464,Maylene & Charity,Kenton,45.580364188510146,-122.68814414661844,Entire home/apt,69,2,54,2015-02-28,2.6,4,329,14-242220-000-00-HO
2730946,Charming N Portland Home w Big Yard,3504725,Cecily,Kenton,45.580389118941426,-122.69771699396968,Entire home/apt,100,3,4,2014-12-30,0.5,1,181,
3543772,Art Studio turned full apartment,7523938,Hannah & Cameron,Kenton,45.58125686161441,-122.70583677048826,Entire home/apt,72,1,43,2015-02-21,6.6,1,338,
462569,"Guest Room in Kenton, on MAX line",2249419,Jon,Kenton,45.581251890895565,-122.68287541451524,Private room,49,1,0,,,1,365,
1257075,"Comfortable home, great for kids!",2263618,Allie,Kenton,45.58061482788236,-122.68597846198547,Entire home/apt,120,2,45,2014-08-26,2.2,1,35,
3635607,Comfy Kenton Close to MAX,14588632,Celina,Kenton,45.5795455943994,-122.69150620916291,Entire home/apt,97,2,9,2014-12-28,1.2,1,54,
1051928,Kenton Overlook,4456464,Maylene & Charity,Kenton,45.5798900407552,-122.68842450924092,Private room,30,7,0,,,4,24,14-242220-000-00-HO
4787390,Bright studio near light rail,1007790,Emily,Kenton,45.5800243138452,-122.68392068782907,Entire home/apt,90,2,4,2015-02-25,3.2,1,127,
853436,Sunny private room near Max & bus,4456464,Maylene & Charity,Kenton,45.57885186921031,-122.68633750677826,Private room,42,1,104,2015-02-28,4.0,4,127,14-242220-000-00-HO
