id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,65,1,154,2017-04-24,6.40,6,321
14780717,Pension Portlandia: Close in Convenience,5670387,David And Debra,,Sullivan's Gulch,45.533818148185404,-122.64176599914155,Entire home/apt,95,1,15,2017-04-30,3.10,1,290
15164536,NE BUNK-HOUSE : Single bed - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53393206860909,-122.64720554334028,Shared room,42,1,30,2017-05-02,4.00,6,338
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,100,1,166,2017-04-22,6.11,6,319
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,100,1,148,2017-04-13,5.38,6,332
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53417600078901,-122.64692082305606,Shared room,47,1,64,2017-05-01,4.21,6,341
14505032,"New & Nearby Convention Center (2bd, 1bth)",45410272,Omar & Amanda,,Sullivan's Gulch,45.53087029937938,-122.64446324120773,Entire home/apt,115,1,81,2017-04-30,10.13,1,36
13031007,Best Neighborhood--2 Bedrooom,636668,Sara Osheroff,,Sullivan's Gulch,45.534087490534844,-122.6366259278555,Entire home/apt,95,2,40,2017-04-30,3.57,1,326
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,70,2,153,2017-04-09,4.50,1,300
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303138804,-122.64248066028327,Private room,52,2,108,2017-04-24,3.46,2,332
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342392331,-122.63679555169614,Entire home/apt,175,2,8,2017-04-30,0.84,1,25
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898030711,-122.64842754117804,Private room,110,1,102,2017-04-22,7.39,6,287
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,47,1,132,2017-05-03,6.11,2,305
5794291,Private suites near it all- Room #6,3029738,Phil,,Sullivan's Gulch,45.533373135355866,-122.64823571872927,Private room,100,1,118,2017-04-22,5.27,6,77
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390003542872,-122.650292210428,Private room,35,5,1,2015-06-15,0.04,1,0
3835937,Close to downtown Portland ,19756066,Randal,,Sullivan's Gulch,45.535099715106135,-122.63842295787813,Private room,77,1,194,2017-05-04,5.84,1,303
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53396442759364,-122.64852666243107,Shared room,47,1,72,2017-04-21,4.67,6,353
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,70,1,181,2017-04-22,6.70,6,348
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202153487,-122.63751758894831,Entire home/apt,115,2,17,2016-10-30,1.32,1,0
4000140,"Fully equipped, Private studio apartment,",20738963,Jodi,,Sullivan's Gulch,45.53331340012331,-122.64516932856453,Entire home/apt,60,2,128,2017-05-02,3.95,1,272
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,100,1,144,2017-04-20,5.14,6,345
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,95,1,112,2017-04-12,3.10,1,316
15164727,NE BUNK-HOUSE : Single bed - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53415374734954,-122.6484272810357,Shared room,47,1,24,2017-05-02,3.55,6,322
15358320,Bohemian Escape,78494301,Pamela,,Sullivan's Gulch,45.532048225603695,-122.64122311847831,Private room,65,2,12,2017-04-09,1.88,1,171
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.532106685559235,-122.644472266018,Private room,70,1,0,,,1,0
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273356919601,-122.63972491079328,Entire home/apt,59,2,104,2017-03-31,3.07,1,303
6031121,Private room modern 1924 Craftsman,9388547,Arian,,Hollywood,45.535768148128525,-122.61622198825988,Private room,68,2,49,2017-04-15,2.06,1,301
4811271,Full home centrally located in NE Portland,11306582,Josh,,Hollywood,45.53212972179269,-122.61576947017772,Entire home/apt,175,3,2,2016-08-31,0.10,1,0
14995423,The Vintage Getaway!,8926269,Lora,,Hollywood,45.53757695466487,-122.6220366093606,Private room,120,1,24,2017-03-30,3.10,1,164
1850556,The Nest,9663989,Laura,,Hollywood,45.53679654660679,-122.62354832516398,Entire home/apt,80,1,305,2017-05-04,7.68,1,278
18375485,Valentina's Little Sister,127253367,Scott,,Hillside,45.526397819664545,-122.70827235616825,Entire home/apt,165,2,0,,,1,174
1056736,Euro/Modern studio w/ private entry kitchen & bath,5820535,Scott,,Hillside,45.524274229357,-122.70850863981786,Private room,85,2,35,2016-10-08,0.72,1,77
14961205,NW Portland's Stairway to Heaven,17889445,Amy,,Hillside,45.52649365445863,-122.70887091687527,Private room,119,1,12,2017-04-22,1.66,1,61
6951336,"City Lights, Hikes, Sites & Bites",36444548,Sharon,,Hillside,45.525760598562925,-122.71160615045011,Entire home/apt,140,2,15,2017-04-25,2.65,1,42
14267365,NW Portland Hillside Hideaway Suite,8166871,Ed & Kyle,,Hillside,45.52135676815572,-122.72579967896546,Private room,89,2,34,2017-05-03,4.59,1,59
15322591,"Paradise in Forest Park, Close to Downtown Shops!",4209393,Lisa,,Hillside,45.52801835074487,-122.71467478481155,Entire home/apt,109,2,12,2017-04-26,1.81,1,282
692488,Classic Northwest Villa,3541177,Jerry,,Hillside,45.52752631570706,-122.70685139295804,Entire home/apt,99,2,213,2017-04-10,3.79,1,43
15289907,Best of both worlds,4267438,Marco,,Hillside,45.525359253707336,-122.7080137198179,Entire home/apt,499,1,4,2017-04-24,1.06,1,258
8811960,Bedroom with bath and 2 beds,22562487,Cole,,Sylvan-Highlands,45.518820258272946,-122.72744648510994,Private room,68,2,2,2016-03-23,0.11,2,0
9732892,"Quiet, convenient & comfortable!",22298379,Marcelo,,Sylvan-Highlands,45.51180329783527,-122.73568380262826,Entire home/apt,150,7,6,2017-04-19,0.38,1,31
6055815,Sylvan Highlands Homestead Retreat,24453020,Kelly,,Sylvan-Highlands,45.51403407066716,-122.73724821875206,Entire home/apt,220,4,9,2016-08-10,0.40,1,0
4493001,Mad Court House - Private Apartment,22904946,Zoe And Sibyl,,Sylvan-Highlands,45.51228527935314,-122.738680534454,Entire home/apt,120,2,48,2017-03-18,1.73,1,149
9712130,Comfort and convenience with private bath.,39022970,Ed & Ann,,Arbor Lodge,45.56843756809522,-122.68499069732607,Private room,55,2,8,2016-10-09,0.70,2,154
17348491,The Buffalo House-Brand New Portland Digs,36014626,Diego,,Arbor Lodge,45.574517405690344,-122.68809718702296,Entire home/apt,125,2,12,2017-04-28,6.32,1,83
7292504,Saratoga Sweetness: cozy & quiet with private bath,36446072,Pamela,,Arbor Lodge,45.57294447654001,-122.6882270376268,Private room,61,1,57,2017-05-04,2.63,1,331
