id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56401,-122.63472,Entire home/apt,65,2,533,9/30/2019,4.5,1,326
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,,Pearl,45.52542,-122.68557,Entire home/apt,275,2,72,9/8/2019,2.4,1,356
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,53,8/31/2019,0.47,3,286
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,125,6,122,9/15/2019,1.08,1,314
39938,Friendly Guesthouse / 10 Min to Airport & Downtown,171371,Sarah,,Woodlawn,45.57428,-122.64594,Private room,29,1,273,9/22/2019,4.88,3,0
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,130,3,218,10/6/2019,1.95,2,365
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,79,3,184,10/14/2019,1.82,2,362
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.52817,-122.63582,Private room,61,3,83,9/13/2019,1.23,2,363
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.52532,-122.63272,Private room,78,3,50,9/13/2019,0.93,2,363
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56181,-122.65097,Entire home/apt,95,2,11,11/16/2012,0.11,1,257
61677,Large Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,,Reed,45.48845,-122.62633,Private room,42,6,115,10/5/2019,1.09,2,125
61893,"NW, Pearl, Downtown, and Parks—Walk to Everything",300391,Matt,,Goose Hollow,45.52208,-122.69979,Entire home/apt,180,30,7,8/17/2019,0.2,1,285
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294,-122.71922,Entire home/apt,90,31,48,9/30/2019,0.45,3,63
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,155,10/7/2019,2.06,1,287
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,175,2,249,9/29/2019,2.37,1,320
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,30,10/6/2019,0.28,1,126
77522,"Large Private Suite Near Reed, Pets Ok, Hot Tub",345461,Diane,,Eastmoreland,45.46992,-122.63218,Private room,55,2,79,10/14/2019,0.84,1,296
78509,Powell Butte-City Views- Maple Room,421792,Jesse,,Powellhurst-Gilbert,45.48608,-122.52273,Private room,60,1,52,8/23/2019,0.5,5,319
80357,"Private, Alley House,  Close-in",415758,Esther,,Sullivan's Gulch,45.53223,-122.63978,Entire home/apt,85,30,1,6/1/2011,0.01,1,347
85860,Corner Caravan,104038,Garden,,Humboldt,45.55593,-122.67589,Entire home/apt,65,7,7,10/1/2019,0.08,2,360
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.5548,-122.6516,Private room,43,5,62,8/14/2017,0.63,5,298
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,59,2,168,9/29/2019,1.64,1,166
95313,Warm + Cozy Apt nr Dining/Alberta/Bus,507756,Andrée,,Woodlawn,45.5737,-122.65064,Entire home/apt,69,1,460,9/27/2019,4.49,4,0
95557,Egregiously SE Portland #2 Clinton,51949,Amy,,Hosford-Abernethy,45.50456,-122.64693,Entire home/apt,165,2,200,9/2/2019,1.96,1,257
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53895,-122.65156,Entire home/apt,165,1,150,9/24/2019,1.61,2,299
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55484,-122.65114,Private room,23,1,65,9/1/2019,0.64,5,102
115223,Sellwood Guest Studio & Hot Tub-Private Entry,238142,Rose,,Sellwood-Moreland Improvement League,45.46783,-122.65557,Entire home/apt,58,2,89,5/21/2019,0.88,1,43
115681,Piedmont Cottage on Peninsula Park,585047,Heather & Topher,,Piedmont,45.56741,-122.67257,Entire home/apt,83,30,261,8/7/2019,2.57,3,209
