id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13941997,Updated & Charming- in Tree-Lined Sullivan's Gulch,41304421,Hanna,,Sullivan's Gulch,45.531216384554156,-122.64550997725755,Entire home/apt,245,2,0,,,3,126
10885290,LOCATION NE : Queen Bunk Bed-TOP,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53424742759364,-122.64824366243107,Shared room,52,1,40,2016-08-29,5.50,13,360
13962174,Quiet room near Convention Center/Downtown PDX,470854,Lydia,,Sullivan's Gulch,45.53345150034767,-122.63833069786257,Private room,60,2,3,2016-08-10,2.65,2,0
4000140,Fully furnished City Studio!Wi-Fi,20738963,Jodi,,Sullivan's Gulch,45.53331340012331,-122.64516932856453,Entire home/apt,60,2,91,2016-08-26,3.75,1,306
3835937,Close to downtown Portland ,19756066,Randal,,Sullivan's Gulch,45.535099715106135,-122.63842295787813,Private room,86,1,124,2016-08-31,4.95,1,350
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303138804,-122.64248066028327,Private room,52,2,89,2016-08-24,3.86,2,352
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,85,2,123,2016-08-30,4.76,1,329
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,70,1,103,2016-08-19,5.46,6,357
14879860,Convenient room in Sullivan's Gulch,93288366,Erica,,Sullivan's Gulch,45.5330155085726,-122.64241082081617,Private room,55,1,0,,,1,363
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,47,1,90,2016-08-26,6.70,2,331
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Tiger & Peacock,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,72,1,92,2016-08-30,5.79,13,342
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,100,1,86,2016-08-19,4.34,6,350
6122610,"LOCATION NE! : ""Mt Adams"" King bed",17261537,Tiger & Peacock,,Sullivan's Gulch,45.5345507451,-122.64799699039284,Private room,75,1,77,2016-08-20,4.86,13,340
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898030711,-122.64842754117804,Private room,110,1,24,2016-08-21,4.26,6,355
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,100,1,81,2016-08-18,4.18,6,358
5794291,Private suites near it all- Room #6,3029738,Phil,,Sullivan's Gulch,45.533373135355866,-122.64823571872927,Private room,100,1,55,2016-08-21,3.86,6,362
6378734,"LOCATION NE ""Columbia"" King & day",17261537,Tiger & Peacock,,Sullivan's Gulch,45.533690563125816,-122.64837658939707,Private room,79,1,63,2016-08-30,3.96,13,246
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.532106685559235,-122.644472266018,Private room,70,1,0,,,1,0
6122048,LOCATION NE : Queen bunks & day bed,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53443747562978,-122.64728705073814,Private room,85,1,47,2016-07-20,2.96,13,353
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390003542872,-122.650292210428,Private room,35,5,1,2015-06-15,0.07,1,0
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202153487,-122.63751758894831,Entire home/apt,115,2,12,2016-08-23,2.57,1,0
13031007,Best Neighborhood--3 Bed Apartment,636668,Sara Osheroff,,Sullivan's Gulch,45.534087490534844,-122.6366259278555,Entire home/apt,135,2,12,2016-08-29,3.96,1,354
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342392331,-122.63679555169614,Entire home/apt,175,3,2,2016-08-28,1.43,2,15
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273356919601,-122.63972491079328,Entire home/apt,85,2,81,2016-08-18,3.15,1,341
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,100,1,87,2016-08-14,4.58,6,357
10907864,LOCATION NE : Queen Bunkbed -BOTTOM,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53417600078901,-122.64692082305606,Shared room,52,1,35,2016-08-28,4.98,13,357
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,95,1,82,2016-08-20,2.94,1,349
13437401,Charming spot with a gorgeous view!,43971358,Alexis,,Hollywood,45.53633097820182,-122.62084064850846,Private room,40,1,3,2016-07-25,1.34,1,35
6031121,Cozy stay in modern 1924 Craftsman,9388547,Arian,,Hollywood,45.535768148128525,-122.61622198825988,Private room,65,2,26,2016-08-28,1.66,1,338
1093037,Hope's House ,5959513,SaraHope,,Hollywood,45.53580966824893,-122.61549686003146,Private room,57,2,24,2016-07-17,0.60,2,247
1095137,House of Hope,5959513,SaraHope,,Hollywood,45.53553332281094,-122.61521214757701,Private room,67,2,56,2016-07-17,1.40,2,65
1850556,The Nest,9663989,Laura,,Hollywood,45.53679654660679,-122.62354832516398,Entire home/apt,99,1,238,2016-09-01,7.55,1,307
4811271,Full home centrally located in NE Portland,11306582,Josh,,Hollywood,45.53212972179269,-122.61576947017772,Entire home/apt,175,4,1,2015-09-08,0.08,1,0
692488,Classic NW Villa ,3541177,Jerry,,Hillside,45.52752631570706,-122.70685139295804,Entire home/apt,99,2,185,2016-08-13,3.85,1,320
1056736,Euro/Modern studio w/ own private entry & kitchen,5820535,Scott,,Hillside,45.524274229357,-122.70850863981786,Private room,90,2,31,2016-08-31,0.76,1,61
5869742,Private Studio Next to Forest Park,30478213,Wildwood Grotto - Ernie And Greg,,Hillside,45.52202968022729,-122.72283945217383,Entire home/apt,120,1,72,2016-08-28,4.73,1,360
13607120,Vintage Modern Urban Oasis,15622775,Melissa,,Hillside,45.525635331668305,-122.71218820412797,Entire home/apt,125,29,3,2016-07-24,1.76,3,345
8811960,Bedroom with bath and 2 beds,22562487,Cole,,Sylvan-Highlands,45.518820258272946,-122.72744648510994,Private room,68,2,2,2016-03-23,0.19,2,0
6055815,Sylvan Highlands Homestead Retreat,24453020,Kelly,,Sylvan-Highlands,45.51403407066716,-122.73724821875206,Entire home/apt,220,4,9,2016-08-10,0.62,1,0
4493001,Mad Court House - Private Apartment,22904946,Zoe And Sibyl,,Sylvan-Highlands,45.51228527935314,-122.738680534454,Entire home/apt,120,2,39,2016-08-23,1.99,1,156
7150418,Forested retreat minutes from downtown Portland,14747173,Roy,,Sylvan-Highlands,45.512812643067214,-122.73059541534488,Entire home/apt,79,5,3,2016-08-16,0.24,1,54
2220926,Bright Vintage Modern Home,927820,Adam,,Arbor Lodge,45.56899544607758,-122.68715908113879,Entire home/apt,135,1,12,2016-08-25,0.44,1,246
9254568,The Craftsman on Curtis - 3bd Home,43717096,Ken,,Arbor Lodge,45.567880344690664,-122.69773333921914,Entire home/apt,155,1,60,2016-08-31,6.98,2,300
9594842,Glorious Garden Retreat,1391205,Clarissa,,Arbor Lodge,45.571857034657455,-122.6846046797939,Entire home/apt,115,2,10,2016-08-27,3.90,2,149
413956,Beautiful 3 Bedroom 1920 Bungalow,1099616,Abraham,,Arbor Lodge,45.56699293382699,-122.67936047797994,Entire home/apt,159,3,105,2016-08-29,2.10,2,346
6885453,Beautiful Arbor Lodge Home,2488728,Isaac,,Arbor Lodge,45.57129568032759,-122.6992679523632,Entire home/apt,175,2,4,2015-11-29,0.29,1,0
13300578,Your urban place minutes away from downtown,20046520,Sona (& Jeffrey),,Arbor Lodge,45.568696848145926,-122.69582259926345,Entire home/apt,120,5,1,2016-07-06,0.49,1,0
13417668,Greeley Guesthouse,2050598,Jessica,,Arbor Lodge,45.56900426006124,-122.69315290454153,Private room,75,1,10,2016-08-15,3.57,1,351
13547073,Cute Basement Studio,3488471,"Jess, Steve, And Clem",,Arbor Lodge,45.57505443435403,-122.68675350633794,Entire home/apt,80,1,17,2016-08-28,7.97,1,66
3907176,Urban Creative Two-story,7523938,Hannah & Cameron,,Arbor Lodge,45.575839071970975,-122.70168065920272,Entire home/apt,160,6,5,2016-07-20,0.20,2,363
11134954,Artist loft in Arbor Lodge,57864996,Scott & Tamara,,Arbor Lodge,45.57462195966699,-122.69200854819513,Entire home/apt,90,3,15,2016-08-30,4.21,1,288
13859584,Cozy basement suite in quiet Arbor Lodge home,5767401,Jocelyn,,Arbor Lodge,45.57094706882049,-122.68375879771928,Private room,45,2,3,2016-08-29,3,1,12
9310996,Suite by University of Portland,1034192,Tyler,,Arbor Lodge,45.57625550582561,-122.7074654076252,Private room,58,2,10,2016-08-28,2.13,1,78
