id,neighbourhood
0,134
7893,18
9356,25
12625,6
12899,45
16688,24
17819,7
22512,1
25200,14
26203,14
27746,3
28078,4
28153,4
29931,46
31696,5
36836,17
37676,46
39472,4
39938,45
40586,3
41268,1
41601,46
42347,16
45890,46
47326,6
47674,5
53144,1
53939,46
53940,46
57368,2
59425,46
61677,30
61893,14
64557,46
65067,3
65466,46
65497,2
66944,46
67036,15
67532,36
68316,6
68810,1
69978,38
70572,18
71827,1
72027,1
73323,1
75460,34
77522,46
77777,15
78509,46
80357,2
83149,7
85860,10
93533,2
93613,45
94223,1
94500,46
95313,46
95557,45
96297,6
99355,46
99606,8
102346,2
107177,1
108895,1
114086,43
115223,46
115681,33
115968,11
117969,45
120820,7
121091,10
123021,5
127067,5
129141,1
131088,37
134282,31
139344,27
140614,46
143483,46
145199,43
156479,21
169624,9
173481,5
173522,13
173868,23
178829,1
182450,39
182465,46
187677,11
187770,12
187797,13
188004,17
194048,1
195115,32
195632,46
195659,32
196035,43
197191,34
199089,21
199582,23
199683,41
200242,8
200544,7
203462,39
203591,13
203797,19
204002,46
205616,46
209229,1
210821,1
211156,2
212201,14
213228,40
213600,45
216893,9
217607,30
218708,45
222164,1
222209,36
222298,46
225925,3
226043,35
229291,46
231732,46
231734,46
233514,26
233996,5
236108,45
240583,5
243676,3
243905,43
246300,5
246398,5
247054,9
248731,1
249526,46
251871,9
253396,36
257068,20
259912,33
262023,5
263318,42
263497,9
264248,23
264961,16
267409,46
269339,46
269821,18
270130,42
272827,37
276652,5
276963,5
278597,4
278613,1
280630,2
281285,2
284105,14
284106,44
284763,4
287327,3
287462,7
293584,37
295694,46
296946,45
300252,1
303758,2
304830,2
306406,3
306955,38
306961,4
306995,5
308853,19
314281,3
316890,17
317797,22
322986,3
326775,2
330479,5
332420,40
332585,46
335267,13
335414,13
345650,46
346697,12
349002,5
350720,2
354320,3
355304,13
355324,12
356767,19
357732,45
361600,1
362775,43
365283,7
366864,2
374649,13
374663,13
374664,4
374675,13
374810,14
379104,46
383701,42
386687,46
396881,5
399890,46
402130,20
402191,45
403525,6
408506,17
408577,14
409747,29
412185,19
413232,4
413956,40
415280,4
424097,41
435896,4
448195,46
449461,45
450488,34
450660,46
452150,11
452908,39
457627,46
462569,6
472459,2
477845,34
482817,5
483059,1
483452,16
483487,46
483614,46
484507,3
496270,45
497612,43
497655,45
497949,38
505493,17
506183,4
506327,40
508140,3
511770,2
515202,2
520950,27
522334,46
525395,30
525964,36
526024,30
527285,4
531232,32
531553,46
531586,42
531775,18
533759,3
539224,22
542248,2
542257,27
543988,46
546107,27
546614,1
546694,30
548557,45
553671,46
554156,23
557802,44
557948,26
558060,22
559565,21
561437,1
566103,40
569209,44
570760,5
573191,28
573264,46
574910,6
580155,46
581518,46
584676,22
585460,9
585540,21
586641,5
589566,20
593135,21
596180,2
596389,46
596528,32
598726,44
600976,46
603074,2
604270,46
607426,11
607870,43
608063,1
611417,43
611454,46
611458,42
611464,42
611469,46
611820,18
617737,1
622546,16
626097,22
626119,11
626294,24
628230,14
633223,1
633256,30
633385,45
634279,46
635432,46
635672,8
637011,46
637362,46
639236,31
640513,2
640874,15
641018,2
642181,3
643728,13
646263,46
646529,3
646573,2
647729,22
649431,40
658841,2
658883,46
668224,15
669989,1
673443,37
674749,2
674866,13
675803,46
676297,2
677226,1
677307,21
677865,46
678642,43
680242,7
680251,1
681972,18
683775,6
684858,3
685930,6
686571,10
686643,24
687927,46
689130,24
692488,46
692606,29
696955,25
696985,11
697115,2
698985,1
699605,43
699667,21
700371,46
700891,1
704753,9
707532,20
708891,1
710438,14
712682,41
714010,26
714018,1
714096,2
714109,1
714112,43
714773,46
715685,46
717084,31
718160,26
720796,46
721739,8
721893,18
723356,8
723424,25
724056,19
733263,38
737564,2
739756,1
741884,6
744598,9
745035,43
746255,10
748584,36
748644,17
749781,28
758814,46
760737,14
760740,2
762386,46
762432,18
763473,10
766425,12
772835,41
773172,46
774924,33
775426,46
778346,14
778821,33
778924,2
783012,12
784126,33
784952,46
787117,2
788186,3
789798,46
790048,46
794344,2
796279,33
798113,46
801318,16
802966,1
803196,4
808056,5
808393,33
811074,16
813079,1
813323,13
815170,2
816398,42
821143,1
821390,29
826289,42
828916,29
828997,9
829180,1
838961,46
840619,5
845311,10
846173,4
848619,5
850325,14
853436,26
853443,13
856553,22
857046,45
857220,46
859442,1
859692,13
861035,1
865596,14
865698,18
869399,36
870560,12
870827,46
871985,46
873723,2
880610,9
880611,16
881070,31
882150,46
882269,1
885006,46
889048,6
889122,1
890688,6
890824,22
894087,37
894179,23
894925,5
895021,2
895273,11
895442,2
898771,30
902805,33
906873,2
910558,1
915064,2
915357,33
915426,29
916916,46
921586,46
921597,14
924147,1
925416,7
925835,8
927432,19
928251,29
928267,31
928274,9
928281,30
929954,29
935989,41
936431,5
938257,46
938283,46
938314,2
942885,46
945596,3
946041,22
946078,6
948101,29
949279,31
951387,45
958634,46
961982,1
962120,1
962678,42
962714,24
966314,6
967959,46
971167,16
973822,4
979746,46
981753,17
985183,27
985346,14
987345,29
987350,2
993073,45
997150,46
1003617,45
1006381,42
1007092,6
1007277,46
1008617,6
1008884,6
1009126,3
1009218,37
1009596,33
1011906,46
1018074,41
1018584,46
1022232,43
1022340,2
1024996,16
1026341,8
1028151,15
1028153,44
1030585,14
1030587,2
1031883,5
1036430,25
1036774,46
1042610,1
1042782,5
1042813,2
1042814,41
1043211,2
1045944,14
1046001,46
1046426,1
1049338,13
1051210,31
1051919,45
1051928,2
1051931,13
1055411,4
1056736,34
1060056,46
1063635,45
1068914,27
1069642,35
1070093,35
1072787,40
1073715,1
1074561,45
1076200,19
1076988,4
1077223,29
1079172,38
1079637,2
1080527,23
1083474,9
1086042,7
1086146,44
1086150,1
1086333,1
1087617,5
1091930,8
1092552,46
1093037,7
1094793,13
1095137,5
1097409,1
1099241,2
1100793,32
1103529,46
1107525,7
1107789,46
1109395,2
1110177,2
1110573,29
1112928,18
1113346,17
1115725,18
1119763,26
1120174,2
1120480,22
1123780,33
1124057,35
1125125,45
1127800,2
1127801,1
1128026,7
1129330,18
1129544,34
1129754,14
1129989,36
1132421,46
1135861,24
1137735,7
1139014,46
1140530,23
1140744,34
1141153,4
1142156,5
1146351,1
1148841,1
1151857,45
1155611,2
1159551,4
1159791,30
1160142,46
1160308,31
1164089,29
1164331,41
1170813,46
1171237,4
1171356,46
1171875,46
1177296,6
1182779,20
1183428,5
1183648,12
1187126,33
1190686,7
1191160,34
1191635,29
1193068,46
1194120,44
1194370,46
1194589,46
1195050,34
1195131,34
1198736,12
1198753,2
1209141,1
1209386,23
1209569,34
1209612,16
1210224,4
1210309,40
1212772,43
1212986,33
1213052,45
1213619,10
1216239,43
1221030,8
1221078,46
1225700,36
1226232,2
1226994,46
1228106,24
1229300,46
1231684,1
1232883,46
1233252,46
1235838,22
1236094,18
1236252,12
1239622,21
1239809,14
1242928,43
1242968,46
1243066,9
1243615,46
1245934,5
1247007,15
1248944,6
1250645,22
1251320,28
1252636,13
1253725,3
1254525,35
1255315,1
1255711,2
1255766,2
1255767,4
1257075,3
1260528,43
1260739,2
1261196,46
1262684,30
1264363,4
1265215,16
1268133,14
1268272,33
1268334,5
1268390,16
1271002,2
1275890,46
1279587,15
1279663,45
1279723,15
1280182,35
1280971,43
1281235,36
1282552,24
1284086,33
1284444,15
1284445,6
1288320,46
